"TIME","GEO","TRA_INFR","UNIT","Value","Flag and Footnotes"
"2006","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","218,828",""
"2006","Estonia","Motorways","Kilometre","99",""
"2006","Estonia","Other roads","Kilometre","57,480",""
"2006","Ireland","Motorways","Kilometre","270",""
"2006","Ireland","Other roads","Kilometre","96,015",""
"2006","Greece","Motorways","Kilometre",":",""
"2006","Greece","Other roads","Kilometre",":",""
"2006","Spain","Motorways","Kilometre","12,073",""
"2006","Spain","Other roads","Kilometre","154,266",""
"2006","France","Motorways","Kilometre","10,849",""
"2006","France","Other roads","Kilometre","1,003,144",""
"2006","Croatia","Motorways","Kilometre","1,081",""
"2006","Croatia","Other roads","Kilometre","27,707",""
"2006","Italy","Motorways","Kilometre","6,554",""
"2006","Italy","Other roads","Kilometre","169,745",""
"2006","Cyprus","Motorways","Kilometre","257",""
"2006","Cyprus","Other roads","Kilometre","12,023",""
"2006","Latvia","Motorways","Kilometre","0",""
"2006","Latvia","Other roads","Kilometre","59,180",""
"2006","Lithuania","Motorways","Kilometre","309",""
"2006","Lithuania","Other roads","Kilometre","79,675",""
"2006","Luxembourg","Motorways","Kilometre","147",""
"2006","Luxembourg","Other roads","Kilometre","2,728",""
"2006","Hungary","Motorways","Kilometre","1,065",""
"2006","Hungary","Other roads","Kilometre","190,850",""
"2006","Malta","Motorways","Kilometre",":","z"
"2006","Malta","Other roads","Kilometre","2,227",""
"2006","Netherlands","Motorways","Kilometre","2,603",""
"2006","Netherlands","Other roads","Kilometre","132,378",""
"2006","Austria","Motorways","Kilometre","1,677",""
"2006","Austria","Other roads","Kilometre","105,573",""
"2006","Poland","Motorways","Kilometre","663",""
"2006","Poland","Other roads","Kilometre","382,615",""
"2006","Portugal","Motorways","Kilometre","2,545",""
"2006","Portugal","Other roads","Kilometre",":",""
"2006","Romania","Motorways","Kilometre","228",""
"2006","Romania","Other roads","Kilometre","79,724",""
"2006","Slovenia","Motorways","Kilometre","579",""
"2006","Slovenia","Other roads","Kilometre","37,980",""
"2006","Slovakia","Motorways","Kilometre","334",""
"2006","Slovakia","Other roads","Kilometre","43,442",""
"2006","Finland","Motorways","Kilometre","700",""
"2006","Finland","Other roads","Kilometre","78,402",""
"2006","Sweden","Motorways","Kilometre","1,678",""
"2006","Sweden","Other roads","Kilometre","96,660",""
"2006","United Kingdom","Motorways","Kilometre","3,670",""
"2006","United Kingdom","Other roads","Kilometre","415,743",""
"2006","Liechtenstein","Motorways","Kilometre",":",""
"2006","Liechtenstein","Other roads","Kilometre","401",""
"2006","Norway","Motorways","Kilometre","222",""
"2006","Norway","Other roads","Kilometre","92,946",""
"2006","Switzerland","Motorways","Kilometre","1,361",""
"2006","Switzerland","Other roads","Kilometre","69,960",""
"2006","Turkey","Motorways","Kilometre","1,987",""
"2006","Turkey","Other roads","Kilometre","347,396",""
"2007","Belgium","Motorways","Kilometre","1,763",""
"2007","Belgium","Other roads","Kilometre","117,946",""
"2007","Bulgaria","Motorways","Kilometre","418",""
"2007","Bulgaria","Other roads","Kilometre","19,007",""
"2007","Czechia","Motorways","Kilometre","658",""
"2007","Czechia","Other roads","Kilometre","54,938",""
"2007","Denmark","Motorways","Kilometre","1,111",""
"2007","Denmark","Other roads","Kilometre","71,711",""
"2007","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,594",""
"2007","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","218,588",""
"2007","Estonia","Motorways","Kilometre","96",""
"2007","Estonia","Other roads","Kilometre","57,916",""
"2007","Ireland","Motorways","Kilometre","269",""
"2007","Ireland","Other roads","Kilometre","96,016",""
"2007","Greece","Motorways","Kilometre",":",""
"2007","Greece","Other roads","Kilometre",":",""
"2007","Spain","Motorways","Kilometre","13,013",""
"2007","Spain","Other roads","Kilometre","152,998",""
"2007","France","Motorways","Kilometre","10,958",""
"2007","France","Other roads","Kilometre","1,015,652",""
"2007","Croatia","Motorways","Kilometre","1,156",""
"2007","Croatia","Other roads","Kilometre","27,882",""
"2007","Italy","Motorways","Kilometre","6,588",""
"2007","Italy","Other roads","Kilometre","175,550",""
"2007","Cyprus","Motorways","Kilometre","257",""
"2007","Cyprus","Other roads","Kilometre","12,224",""
"2007","Latvia","Motorways","Kilometre","0",""
"2007","Latvia","Other roads","Kilometre","59,359",""
"2007","Lithuania","Motorways","Kilometre","309",""
"2007","Lithuania","Other roads","Kilometre","80,406",""
"2007","Luxembourg","Motorways","Kilometre","147",""
"2007","Luxembourg","Other roads","Kilometre","2,728",""
"2007","Hungary","Motorways","Kilometre","1,157",""
"2007","Hungary","Other roads","Kilometre","193,407",""
"2007","Malta","Motorways","Kilometre",":","z"
"2007","Malta","Other roads","Kilometre","3,096",""
"2007","Netherlands","Motorways","Kilometre","2,582",""
"2007","Netherlands","Other roads","Kilometre","135,470",""
"2007","Austria","Motorways","Kilometre","1,678",""
"2007","Austria","Other roads","Kilometre","105,532",""
"2007","Poland","Motorways","Kilometre","663",""
"2007","Poland","Other roads","Kilometre","382,391",""
"2007","Portugal","Motorways","Kilometre","2,613",""
"2007","Portugal","Other roads","Kilometre",":",""
"2007","Romania","Motorways","Kilometre","281",""
"2007","Romania","Other roads","Kilometre","80,612",""
"2007","Slovenia","Motorways","Kilometre","579",""
"2007","Slovenia","Other roads","Kilometre","38,128",""
"2007","Slovakia","Motorways","Kilometre","373",""
"2007","Slovakia","Other roads","Kilometre","43,452",""
"2007","Finland","Motorways","Kilometre","700",""
"2007","Finland","Other roads","Kilometre","78,376",""
"2007","Sweden","Motorways","Kilometre","1,836",""
"2007","Sweden","Other roads","Kilometre","211,686",""
"2007","United Kingdom","Motorways","Kilometre","3,674",""
"2007","United Kingdom","Other roads","Kilometre","416,324",""
"2007","Liechtenstein","Motorways","Kilometre",":",""
"2007","Liechtenstein","Other roads","Kilometre","401",""
"2007","Norway","Motorways","Kilometre","239",""
"2007","Norway","Other roads","Kilometre","92,869",""
"2007","Switzerland","Motorways","Kilometre","1,383",""
"2007","Switzerland","Other roads","Kilometre","69,987",""
"2007","Turkey","Motorways","Kilometre","1,987",""
"2007","Turkey","Other roads","Kilometre","348,800",""
"2008","Belgium","Motorways","Kilometre","1,763",""
"2008","Belgium","Other roads","Kilometre","118,353",""
"2008","Bulgaria","Motorways","Kilometre","418",""
"2008","Bulgaria","Other roads","Kilometre","19,017",""
"2008","Czechia","Motorways","Kilometre","691",""
"2008","Czechia","Other roads","Kilometre","54,963",""
"2008","Denmark","Motorways","Kilometre","1,128",""
"2008","Denmark","Other roads","Kilometre","71,825",""
"2008","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,645",""
"2008","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","218,354",""
"2008","Estonia","Motorways","Kilometre","104",""
"2008","Estonia","Other roads","Kilometre","58,295",""
"2008","Ireland","Motorways","Kilometre","423",""
"2008","Ireland","Other roads","Kilometre","96,016",""
"2008","Greece","Motorways","Kilometre",":",""
"2008","Greece","Other roads","Kilometre",":",""
"2008","Spain","Motorways","Kilometre","13,514",""
"2008","Spain","Other roads","Kilometre","151,578",""
"2008","France","Motorways","Kilometre","11,042",""
"2008","France","Other roads","Kilometre","1,016,749",""
"2008","Croatia","Motorways","Kilometre","1,199",""
"2008","Croatia","Other roads","Kilometre","28,050",""
"2008","Italy","Motorways","Kilometre","6,629",""
"2008","Italy","Other roads","Kilometre","177,076",""
"2008","Cyprus","Motorways","Kilometre","257",""
"2008","Cyprus","Other roads","Kilometre","12,299",""
"2008","Latvia","Motorways","Kilometre","0",""
"2008","Latvia","Other roads","Kilometre","59,225",""
"2008","Lithuania","Motorways","Kilometre","309",""
"2008","Lithuania","Other roads","Kilometre","80,721",""
"2008","Luxembourg","Motorways","Kilometre","147",""
"2008","Luxembourg","Other roads","Kilometre","2,894",""
"2008","Hungary","Motorways","Kilometre","1,274",""
"2008","Hungary","Other roads","Kilometre","194,986",""
"2008","Malta","Motorways","Kilometre",":","z"
"2008","Malta","Other roads","Kilometre","3,096",""
"2008","Netherlands","Motorways","Kilometre","2,583",""
"2008","Netherlands","Other roads","Kilometre","132,887",""
"2008","Austria","Motorways","Kilometre","1,696",""
"2008","Austria","Other roads","Kilometre","105,122",""
"2008","Poland","Motorways","Kilometre","765",""
"2008","Poland","Other roads","Kilometre","382,548",""
"2008","Portugal","Motorways","Kilometre","2,623",""
"2008","Portugal","Other roads","Kilometre",":",""
"2008","Romania","Motorways","Kilometre","281",""
"2008","Romania","Other roads","Kilometre","81,412",""
"2008","Slovenia","Motorways","Kilometre","696",""
"2008","Slovenia","Other roads","Kilometre","38,176",""
"2008","Slovakia","Motorways","Kilometre","393",""
"2008","Slovakia","Other roads","Kilometre","43,465",""
"2008","Finland","Motorways","Kilometre","739",""
"2008","Finland","Other roads","Kilometre","78,316",""
"2008","Sweden","Motorways","Kilometre","1,857",""
"2008","Sweden","Other roads","Kilometre","212,242",""
"2008","United Kingdom","Motorways","Kilometre","3,673",""
"2008","United Kingdom","Other roads","Kilometre","415,924",""
"2008","Liechtenstein","Motorways","Kilometre",":",""
"2008","Liechtenstein","Other roads","Kilometre","401",""
"2008","Norway","Motorways","Kilometre","258",""
"2008","Norway","Other roads","Kilometre","92,822",""
"2008","Switzerland","Motorways","Kilometre","1,383",""
"2008","Switzerland","Other roads","Kilometre","70,049",""
"2008","Turkey","Motorways","Kilometre","2,010",""
"2008","Turkey","Other roads","Kilometre","350,036",""
"2009","Belgium","Motorways","Kilometre","1,763",""
"2009","Belgium","Other roads","Kilometre","118,705",""
"2009","Bulgaria","Motorways","Kilometre","418",""
"2009","Bulgaria","Other roads","Kilometre","19,023",""
"2009","Czechia","Motorways","Kilometre","729",""
"2009","Czechia","Other roads","Kilometre","54,990",""
"2009","Denmark","Motorways","Kilometre","1,130",""
"2009","Denmark","Other roads","Kilometre","72,065",""
"2009","Germany (until 1990 former territory of the FRG)","Motorways","Kilometre","12,813",""
"2009","Germany (until 1990 former territory of the FRG)","Other roads","Kilometre","218,156",""
"2009","Estonia","Motorways","Kilometre","100",""
"2009","Estonia","Other roads","Kilometre","58,300",""
"2009","Ireland","Motorways","Kilometre","663",""
"2009","Ireland","Other roads","Kilometre","96,032",""
"2009","Greece","Motorways","Kilometre",":",""
"2009","Greece","Other roads","Kilometre",":",""
"2009","Spain","Motorways","Kilometre","14,023",""
"2009","Spain","Other roads","Kilometre","151,393",""
"2009","France","Motorways","Kilometre","11,163",""
"2009","France","Other roads","Kilometre","1,029,433",""
"2009","Croatia","Motorways","Kilometre","1,244",""
"2009","Croatia","Other roads","Kilometre","28,099",""
"2009","Italy","Motorways","Kilometre","6,661",""
"2009","Italy","Other roads","Kilometre","173,891",""
