"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2006","United Kingdom","Thousand",":",""
"2006","Iceland","Thousand",":",""
"2006","Liechtenstein","Thousand","691",""
"2006","Norway","Thousand","445",""
"2006","Switzerland","Thousand","519","e"
"2006","Former Yugoslav Republic of Macedonia, the","Thousand","119",""
"2006","Turkey","Thousand","88",""
"2007","Belgium","Thousand","473",""
"2007","Bulgaria","Thousand","277",""
"2007","Czechia","Thousand","414",""
"2007","Denmark","Thousand","466",""
"2007","Germany (until 1990 former territory of the FRG)","Thousand",":",""
"2007","Estonia","Thousand","391",""
"2007","Ireland","Thousand","422",""
"2007","Greece","Thousand","434",""
"2007","Spain","Thousand","476","d"
"2007","France","Thousand","480",""
"2007","Croatia","Thousand","350",""
"2007","Italy","Thousand","608",""
"2007","Cyprus","Thousand","529",""
"2007","Latvia","Thousand","413",""
"2007","Lithuania","Thousand","494","d"
"2007","Luxembourg","Thousand","666",""
"2007","Hungary","Thousand","325",""
"2007","Malta","Thousand","549",""
"2007","Netherlands","Thousand","451",""
"2007","Austria","Thousand","511",""
"2007","Poland","Thousand","383",""
"2007","Portugal","Thousand",":",""
"2007","Romania","Thousand","172",""
"2007","Slovenia","Thousand","504","b"
"2007","Slovakia","Thousand","267",""
"2007","Finland","Thousand","485","d"
"2007","Sweden","Thousand","464",""
"2007","United Kingdom","Thousand",":",""
"2007","Iceland","Thousand",":",""
"2007","Liechtenstein","Thousand","689",""
"2007","Norway","Thousand","455",""
"2007","Switzerland","Thousand","521","e"
"2007","Former Yugoslav Republic of Macedonia, the","Thousand","122",""
"2007","Turkey","Thousand","92",""
"2008","Belgium","Thousand","477",""
"2008","Bulgaria","Thousand","317",""
"2008","Czechia","Thousand","424",""
"2008","Denmark","Thousand","468",""
"2008","Germany (until 1990 former territory of the FRG)","Thousand","504",""
"2008","Estonia","Thousand","413",""
"2008","Ireland","Thousand","442",""
"2008","Greece","Thousand","453",""
"2008","Spain","Thousand","479","d"
"2008","France","Thousand",":",""
"2008","Croatia","Thousand","360",""
"2008","Italy","Thousand","612",""
"2008","Cyprus","Thousand","557",""
"2008","Latvia","Thousand","431",""
"2008","Lithuania","Thousand","525","d"
"2008","Luxembourg","Thousand","665",""
"2008","Hungary","Thousand","305",""
"2008","Malta","Thousand","558",""
"2008","Netherlands","Thousand","457",""
"2008","Austria","Thousand","514",""
"2008","Poland","Thousand","422",""
"2008","Portugal","Thousand",":",""
"2008","Romania","Thousand","197",""
"2008","Slovenia","Thousand","514",""
"2008","Slovakia","Thousand","287",""
"2008","Finland","Thousand","507","d"
"2008","Sweden","Thousand","462",""
"2008","United Kingdom","Thousand","458","d"
"2008","Iceland","Thousand",":",""
"2008","Liechtenstein","Thousand","715",""
"2008","Norway","Thousand","458",""
"2008","Switzerland","Thousand","518","e"
"2008","Former Yugoslav Republic of Macedonia, the","Thousand","128",""
"2008","Turkey","Thousand","95",""
"2009","Belgium","Thousand","479",""
"2009","Bulgaria","Thousand","337",""
"2009","Czechia","Thousand","424",""
"2009","Denmark","Thousand",":",""
"2009","Germany (until 1990 former territory of the FRG)","Thousand","510",""
"2009","Estonia","Thousand","409",""
"2009","Ireland","Thousand","433",""
"2009","Greece","Thousand","462",""
"2009","Spain","Thousand","473","d"
"2009","France","Thousand","486",""
"2009","Croatia","Thousand","358",""
"2009","Italy","Thousand","614",""
