"TIME","GEO","UNIT","PERS_INV","Value","Flag and Footnotes"
"2002","Slovenia","Number","Passengers","64",""
"2002","Slovenia","Number","Drivers","163",""
"2002","Slovenia","Number","Pedestrians","41",""
"2002","Slovakia","Number","Passengers","142",""
"2002","Slovakia","Number","Drivers","285",""
"2002","Slovakia","Number","Pedestrians","198",""
"2002","Finland","Number","Passengers","95",""
"2002","Finland","Number","Drivers","280",""
"2002","Finland","Number","Pedestrians","40",""
"2002","Sweden","Number","Passengers","124",""
"2002","Sweden","Number","Drivers","378",""
"2002","Sweden","Number","Pedestrians","58",""
"2002","United Kingdom","Number","Passengers","720",""
"2002","United Kingdom","Number","Drivers","2,053",""
"2002","United Kingdom","Number","Pedestrians","808",""
"2002","Iceland","Number","Passengers","16",""
"2002","Iceland","Number","Drivers","12",""
"2002","Iceland","Number","Pedestrians","1",""
"2002","Liechtenstein","Number","Passengers",":",""
"2002","Liechtenstein","Number","Drivers",":",""
"2002","Liechtenstein","Number","Pedestrians",":",""
"2002","Norway","Number","Passengers","77",""
"2002","Norway","Number","Drivers","198",""
"2002","Norway","Number","Pedestrians","35",""
"2002","Switzerland","Number","Passengers","73",""
"2002","Switzerland","Number","Drivers","344",""
"2002","Switzerland","Number","Pedestrians","96",""
"2003","Belgium","Number","Passengers","170",""
"2003","Belgium","Number","Drivers","930",""
"2003","Belgium","Number","Pedestrians","113",""
"2003","Bulgaria","Number","Passengers",":",""
"2003","Bulgaria","Number","Drivers",":",""
"2003","Bulgaria","Number","Pedestrians",":",""
"2003","Czechia","Number","Passengers","340",""
"2003","Czechia","Number","Drivers","817",""
"2003","Czechia","Number","Pedestrians","290",""
"2003","Denmark","Number","Passengers","81",""
"2003","Denmark","Number","Drivers","300",""
"2003","Denmark","Number","Pedestrians","49",""
"2003","Germany (until 1990 former territory of the FRG)","Number","Passengers","1,149",""
"2003","Germany (until 1990 former territory of the FRG)","Number","Drivers","4,652",""
"2003","Germany (until 1990 former territory of the FRG)","Number","Pedestrians","812",""
"2003","Estonia","Number","Passengers",":",""
"2003","Estonia","Number","Drivers",":",""
"2003","Estonia","Number","Pedestrians",":",""
"2003","Ireland","Number","Passengers","75",""
"2003","Ireland","Number","Drivers","198",""
"2003","Ireland","Number","Pedestrians","64",""
"2003","Greece","Number","Passengers","338",""
"2003","Greece","Number","Drivers","1,010",""
"2003","Greece","Number","Pedestrians","257",""
"2003","Spain","Number","Passengers","1,401",""
"2003","Spain","Number","Drivers","3,187",""
"2003","Spain","Number","Pedestrians","785",""
"2003","France","Number","Passengers","1,193",""
"2003","France","Number","Drivers","4,218",""
"2003","France","Number","Pedestrians","623",""
"2003","Croatia","Number","Passengers",":",""
"2003","Croatia","Number","Drivers",":",""
"2003","Croatia","Number","Pedestrians",":",""
"2003","Italy","Number","Passengers","1,413",""
"2003","Italy","Number","Drivers","4,279",""
"2003","Italy","Number","Pedestrians","871",""
"2003","Cyprus","Number","Passengers",":",""
"2003","Cyprus","Number","Drivers",":",""
"2003","Cyprus","Number","Pedestrians",":",""
"2003","Latvia","Number","Passengers",":",""
"2003","Latvia","Number","Drivers",":",""
"2003","Latvia","Number","Pedestrians",":",""
"2003","Lithuania","Number","Passengers",":",""
"2003","Lithuania","Number","Drivers",":",""
"2003","Lithuania","Number","Pedestrians",":",""
"2003","Luxembourg","Number","Passengers","10",""
"2003","Luxembourg","Number","Drivers","36",""
"2003","Luxembourg","Number","Pedestrians","7",""
"2003","Hungary","Number","Passengers","334",""
"2003","Hungary","Number","Drivers","693",""
"2003","Hungary","Number","Pedestrians","299",""
"2003","Malta","Number","Passengers",":",""
"2003","Malta","Number","Drivers",":",""
"2003","Malta","Number","Pedestrians",":",""
"2003","Netherlands","Number","Passengers","163",""
"2003","Netherlands","Number","Drivers","767",""
"2003","Netherlands","Number","Pedestrians","97",""
"2003","Austria","Number","Passengers","175",""
"2003","Austria","Number","Drivers","624",""
"2003","Austria","Number","Pedestrians","132",""
"2003","Poland","Number","Passengers","1,262",""
"2003","Poland","Number","Drivers","2,501",""
"2003","Poland","Number","Pedestrians","1,879",""
"2003","Portugal","Number","Passengers","304",""
"2003","Portugal","Number","Drivers","942",""
"2003","Portugal","Number","Pedestrians","277",""
"2003","Romania","Number","Passengers","501",""
"2003","Romania","Number","Drivers","784",""
"2003","Romania","Number","Pedestrians","944",""
"2003","Slovenia","Number","Passengers","51",""
"2003","Slovenia","Number","Drivers","153",""
"2003","Slovenia","Number","Pedestrians","38",""
"2003","Slovakia","Number","Passengers","140",""
"2003","Slovakia","Number","Drivers","315",""
"2003","Slovakia","Number","Pedestrians","198",""
"2003","Finland","Number","Passengers","73",""
"2003","Finland","Number","Drivers","247",""
"2003","Finland","Number","Pedestrians","59",""
"2003","Sweden","Number","Passengers","114",""
"2003","Sweden","Number","Drivers","360",""
"2003","Sweden","Number","Pedestrians","55",""
"2003","United Kingdom","Number","Passengers","707",""
"2003","United Kingdom","Number","Drivers","2,149",""
"2003","United Kingdom","Number","Pedestrians","802",""
"2003","Iceland","Number","Passengers","9",""
"2003","Iceland","Number","Drivers","11",""
"2003","Iceland","Number","Pedestrians","3",""
"2003","Liechtenstein","Number","Passengers",":",""
"2003","Liechtenstein","Number","Drivers",":",""
"2003","Liechtenstein","Number","Pedestrians",":",""
"2003","Norway","Number","Passengers","63",""
"2003","Norway","Number","Drivers","183",""
"2003","Norway","Number","Pedestrians","34",""
"2003","Switzerland","Number","Passengers","84",""
"2003","Switzerland","Number","Drivers","371",""
"2003","Switzerland","Number","Pedestrians","91",""
"2004","Belgium","Number","Passengers","155",""
"2004","Belgium","Number","Drivers","906",""
"2004","Belgium","Number","Pedestrians","101",""
"2004","Bulgaria","Number","Passengers",":",""
"2004","Bulgaria","Number","Drivers",":",""
"2004","Bulgaria","Number","Pedestrians",":",""
"2004","Czechia","Number","Passengers","324",""
"2004","Czechia","Number","Drivers","777",""
"2004","Czechia","Number","Pedestrians","281",""
"2004","Denmark","Number","Passengers","57",""
"2004","Denmark","Number","Drivers","269",""
"2004","Denmark","Number","Pedestrians","43",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Passengers","1,005",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Drivers","3,999",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Pedestrians","838",""
"2004","Estonia","Number","Passengers",":",""
"2004","Estonia","Number","Drivers",":",""
"2004","Estonia","Number","Pedestrians",":",""
"2004","Ireland","Number","Passengers","95",""
"2004","Ireland","Number","Drivers","216",""
"2004","Ireland","Number","Pedestrians","66",""
"2004","Greece","Number","Passengers","360",""
"2004","Greece","Number","Drivers","1,017",""
"2004","Greece","Number","Pedestrians","293",""
"2004","Spain","Number","Passengers","1,182",""
"2004","Spain","Number","Drivers","2,848",""
"2004","Spain","Number","Pedestrians","685",""
"2004","France","Number","Passengers","1,048",""
"2004","France","Number","Drivers","3,878",""
"2004","France","Number","Pedestrians","580",""
"2004","Croatia","Number","Passengers",":",""
"2004","Croatia","Number","Drivers",":",""
"2004","Croatia","Number","Pedestrians",":",""
"2004","Italy","Number","Passengers","1,245",""
"2004","Italy","Number","Drivers","4,067",""
"2004","Italy","Number","Pedestrians","810",""
"2004","Cyprus","Number","Passengers",":",""
"2004","Cyprus","Number","Drivers",":",""
"2004","Cyprus","Number","Pedestrians",":",""
"2004","Latvia","Number","Passengers","132",""
"2004","Latvia","Number","Drivers","187",""
