"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2006","Serbia","Total","Total","Number","7,425,487",""
"2006","Turkey","Total","Total","Number","68,860,539",""
"2006","Andorra","Total","Total","Number","78,549",""
"2006","Belarus","Total","Total","Number","9,750,540",""
"2006","Bosnia and Herzegovina","Total","Total","Number","3,842,650",""
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2,100,000",""
"2006","Moldova","Total","Total","Number","3,589,936",""
"2006","Monaco","Total","Total","Number",":",""
"2006","Russia","Total","Total","Number","142,753,551",""
"2006","San Marino","Total","Total","Number","29,999",""
"2006","Ukraine","Total","Total","Number","46,749,170",""
"2006","Armenia","Total","Total","Number","3,219,234",""
"2006","Azerbaijan","Total","Total","Number","8,436,400",""
"2006","Georgia","Total","Total","Number","4,401,292",""
"2007","Belgium","Total","Total","Number","10,584,534",""
"2007","Bulgaria","Total","Total","Number","7,572,673",""
"2007","Czechia","Total","Total","Number","10,254,233",""
"2007","Denmark","Total","Total","Number","5,447,084",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,314,906",""
"2007","Estonia","Total","Total","Number","1,342,920",""
"2007","Ireland","Total","Total","Number","4,340,118",""
"2007","Greece","Total","Total","Number","11,036,008",""
"2007","Spain","Total","Total","Number","44,784,666",""
"2007","France","Total","Total","Number","63,645,065",""
"2007","France (metropolitan)","Total","Total","Number","61,795,238",""
"2007","Croatia","Total","Total","Number","4,313,530",""
"2007","Italy","Total","Total","Number","58,223,744",""
"2007","Cyprus","Total","Total","Number","757,916",""
"2007","Latvia","Total","Total","Number","2,208,840",""
"2007","Lithuania","Total","Total","Number","3,249,983",""
"2007","Luxembourg","Total","Total","Number","476,187",""
"2007","Hungary","Total","Total","Number","10,066,158",""
"2007","Malta","Total","Total","Number","405,616",""
"2007","Netherlands","Total","Total","Number","16,357,992",""
"2007","Austria","Total","Total","Number","8,282,984",""
"2007","Poland","Total","Total","Number","38,125,479",""
"2007","Portugal","Total","Total","Number","10,532,588",""
"2007","Romania","Total","Total","Number","21,130,503",""
"2007","Slovenia","Total","Total","Number","2,010,377",""
"2007","Slovakia","Total","Total","Number","5,373,180",""
"2007","Finland","Total","Total","Number","5,276,955",""
"2007","Sweden","Total","Total","Number","9,113,257",""
"2007","United Kingdom","Total","Total","Number","61,073,279",""
"2007","Iceland","Total","Total","Number","307,672",""
"2007","Liechtenstein","Total","Total","Number","35,168",""
"2007","Norway","Total","Total","Number","4,681,134",""
"2007","Switzerland","Total","Total","Number","7,508,739",""
"2007","Montenegro","Total","Total","Number","614,624",""
"2007","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,041,941",""
"2007","Albania","Total","Total","Number","2,981,755",""
"2007","Serbia","Total","Total","Number","7,397,651",""
"2007","Turkey","Total","Total","Number","69,729,967",""
"2007","Andorra","Total","Total","Number","81,222",""
"2007","Belarus","Total","Total","Number","9,714,461",""
"2007","Bosnia and Herzegovina","Total","Total","Number","3,844,017",""
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2,126,708",""
"2007","Moldova","Total","Total","Number","3,581,110",""
"2007","Monaco","Total","Total","Number",":",""
"2007","Russia","Total","Total","Number","142,220,968",""
"2007","San Marino","Total","Total","Number","30,368",""
"2007","Ukraine","Total","Total","Number","46,465,691",""
"2007","Armenia","Total","Total","Number","3,222,953",""
"2007","Azerbaijan","Total","Total","Number","8,532,700",""
"2007","Georgia","Total","Total","Number","4,394,702",""
"2008","Belgium","Total","Total","Number","10,666,866",""
"2008","Bulgaria","Total","Total","Number","7,518,002",""
"2008","Czechia","Total","Total","Number","10,343,422",""
"2008","Denmark","Total","Total","Number","5,475,791",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,217,837",""
"2008","Estonia","Total","Total","Number","1,338,440",""
"2008","Ireland","Total","Total","Number","4,457,765",""
"2008","Greece","Total","Total","Number","11,060,937",""
"2008","Spain","Total","Total","Number","45,668,939",""
"2008","France","Total","Total","Number","64,007,193",""
"2008","France (metropolitan)","Total","Total","Number","62,134,866",""
"2008","Croatia","Total","Total","Number","4,311,967",""
"2008","Italy","Total","Total","Number","58,652,875",""
"2008","Cyprus","Total","Total","Number","776,333",""
"2008","Latvia","Total","Total","Number","2,191,810",""
"2008","Lithuania","Total","Total","Number","3,212,605",""
"2008","Luxembourg","Total","Total","Number","483,799",""
"2008","Hungary","Total","Total","Number","10,045,401",""
"2008","Malta","Total","Total","Number","407,832",""
"2008","Netherlands","Total","Total","Number","16,405,399",""
"2008","Austria","Total","Total","Number","8,307,989",""
"2008","Poland","Total","Total","Number","38,115,641",""
"2008","Portugal","Total","Total","Number","10,553,339",""
"2008","Romania","Total","Total","Number","20,635,460",""
"2008","Slovenia","Total","Total","Number","2,010,269","b"
"2008","Slovakia","Total","Total","Number","5,376,064",""
"2008","Finland","Total","Total","Number","5,300,484",""
"2008","Sweden","Total","Total","Number","9,182,927",""
"2008","United Kingdom","Total","Total","Number","61,571,647",""
"2008","Iceland","Total","Total","Number","315,459",""
"2008","Liechtenstein","Total","Total","Number","35,356",""
"2008","Norway","Total","Total","Number","4,737,171",""
"2008","Switzerland","Total","Total","Number","7,593,494",""
"2008","Montenegro","Total","Total","Number","615,543",""
"2008","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,045,177",""
"2008","Albania","Total","Total","Number","2,958,266",""
"2008","Serbia","Total","Total","Number","7,365,507",""
"2008","Turkey","Total","Total","Number","70,586,256",""
"2008","Andorra","Total","Total","Number","83,137",""
"2008","Belarus","Total","Total","Number","9,689,770",""
"2008","Bosnia and Herzegovina","Total","Total","Number","3,843,846",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2,153,139",""
"2008","Moldova","Total","Total","Number","3,572,703",""
"2008","Monaco","Total","Total","Number",":",""
"2008","Russia","Total","Total","Number","142,008,838",""
"2008","San Marino","Total","Total","Number","32,054",""
"2008","Ukraine","Total","Total","Number","46,192,309",""
"2008","Armenia","Total","Total","Number","3,230,086",""
"2008","Azerbaijan","Total","Total","Number","8,629,900",""
"2008","Georgia","Total","Total","Number","4,382,070",""
"2009","Belgium","Total","Total","Number","10,753,080",""
"2009","Bulgaria","Total","Total","Number","7,467,119",""
"2009","Czechia","Total","Total","Number","10,425,783",""
"2009","Denmark","Total","Total","Number","5,511,451",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Number","82,002,356",""
"2009","Estonia","Total","Total","Number","1,335,740",""
"2009","Ireland","Total","Total","Number","4,521,322",""
"2009","Greece","Total","Total","Number","11,094,745",""
"2009","Spain","Total","Total","Number","46,239,273",""
"2009","France","Total","Total","Number","64,350,226",""
"2009","France (metropolitan)","Total","Total","Number","62,465,709",""
"2009","Croatia","Total","Total","Number","4,309,796",""
"2009","Italy","Total","Total","Number","59,000,586",""
"2009","Cyprus","Total","Total","Number","796,930",""
"2009","Latvia","Total","Total","Number","2,162,834",""
"2009","Lithuania","Total","Total","Number","3,183,856",""
"2009","Luxembourg","Total","Total","Number","493,500",""
"2009","Hungary","Total","Total","Number","10,030,975",""
"2009","Malta","Total","Total","Number","410,926",""
"2009","Netherlands","Total","Total","Number","16,485,787",""
"2009","Austria","Total","Total","Number","8,335,003",""
"2009","Poland","Total","Total","Number","38,135,876",""
"2009","Portugal","Total","Total","Number","10,563,014",""
"2009","Romania","Total","Total","Number","20,440,290",""
"2009","Slovenia","Total","Total","Number","2,032,362",""
"2009","Slovakia","Total","Total","Number","5,382,401",""
"2009","Finland","Total","Total","Number","5,326,314",""
"2009","Sweden","Total","Total","Number","9,256,347",""
"2009","United Kingdom","Total","Total","Number","62,042,343",""
"2009","Iceland","Total","Total","Number","319,368",""
"2009","Liechtenstein","Total","Total","Number","35,589",""
"2009","Norway","Total","Total","Number","4,799,252",""
"2009","Switzerland","Total","Total","Number","7,701,856",""
"2009","Montenegro","Total","Total","Number","617,157",""
"2009","Former Yugoslav Republic of Macedonia, the","Total","Total","Number","2,048,619",""
"2009","Albania","Total","Total","Number","2,936,355",""
"2009","Serbia","Total","Total","Number","7,334,937",""
"2009","Turkey","Total","Total","Number","71,517,100",""
"2009","Andorra","Total","Total","Number","84,484",""
"2009","Belarus","Total","Total","Number","9,671,912",""
"2009","Bosnia and Herzegovina","Total","Total","Number","3,843,998",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number","2,180,686",""
"2009","Moldova","Total","Total","Number","3,567,512",""
"2009","Monaco","Total","Total","Number",":",""
"2009","Russia","Total","Total","Number","141,903,979",""
"2009","San Marino","Total","Total","Number","31,269",""
"2009","Ukraine","Total","Total","Number","45,963,359",""
"2009","Armenia","Total","Total","Number","3,237,976",""
"2009","Azerbaijan","Total","Total","Number","8,896,900",""
"2009","Georgia","Total","Total","Number","4,385,429",""
"2010","Belgium","Total","Total","Number","10,839,905",""
"2010","Bulgaria","Total","Total","Number","7,421,766",""
"2010","Czechia","Total","Total","Number","10,462,088",""
"2010","Denmark","Total","Total","Number","5,534,738",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Total","Number","81,802,257",""
"2010","Estonia","Total","Total","Number","1,333,290",""
"2010","Ireland","Total","Total","Number","4,549,428",""
"2010","Greece","Total","Total","Number","11,119,289",""
"2010","Spain","Total","Total","Number","46,486,619",""
"2010","France","Total","Total","Number","64,658,856",""
"2010","France (metropolitan)","Total","Total","Number","62,765,235",""
"2010","Croatia","Total","Total","Number","4,302,847",""
"2010","Italy","Total","Total","Number","59,190,143",""
"2010","Cyprus","Total","Total","Number","819,140",""
"2010","Latvia","Total","Total","Number","2,120,504",""
"2010","Lithuania","Total","Total","Number","3,141,976",""
"2010","Luxembourg","Total","Total","Number","502,066",""
"2010","Hungary","Total","Total","Number","10,014,324",""
"2010","Malta","Total","Total","Number","414,027",""
"2010","Netherlands","Total","Total","Number","16,574,989",""
"2010","Austria","Total","Total","Number","8,351,643",""
"2010","Poland","Total","Total","Number","38,022,869","b"
"2010","Portugal","Total","Total","Number","10,573,479",""
"2010","Romania","Total","Total","Number","20,294,683",""
"2010","Slovenia","Total","Total","Number","2,046,976",""
